,timesteps,rewards,duration
0,4096,0.009631994460957194,0:00:49.217354
1,8192,0.015662348063954362,0:01:55.224524
2,12288,0.017748422549646703,0:02:54.361724
3,16384,0.02015479892145744,0:03:46.166343
4,20480,0.02790131874839359,0:04:47.633916
5,24576,0.03533044728244339,0:05:42.065057
6,28672,0.03998762721422899,0:06:33.215089
7,32768,0.0595526550800467,0:07:31.115399
8,36864,0.06985644943117464,0:08:23.848612
9,40960,0.0810977256932015,0:09:17.991896
10,45056,0.07976266826289802,0:10:12.931099
11,49152,0.09779229117697241,0:11:05.926556
12,53248,0.10883238451312893,0:11:59.970920
13,57344,0.1405458618550881,0:12:57.784425
14,61440,0.16292572797482308,0:13:54.216025
15,65536,0.19617415294822393,0:14:53.039668
16,69632,0.2315677374976275,0:15:53.330821
17,73728,0.23028248949374586,0:16:52.554052
18,77824,0.27410486599046635,0:17:53.715283
19,81920,0.3126980909493682,0:18:54.358444
20,86016,0.18775231763878253,0:19:47.152993
21,90112,0.27444666953471497,0:20:44.704613
22,94208,0.37483225569674516,0:21:46.247222
23,98304,0.422155642737863,0:22:48.323799
24,102400,0.44366368223182917,0:23:50.481396
25,106496,0.46098663000447004,0:24:52.576305
26,110592,0.5036873135180144,0:25:54.724737
27,114688,0.5169323052534764,0:26:57.026489
28,118784,0.5243823912680767,0:27:58.801259
29,122880,0.5424106584534627,0:29:01.215574
30,126976,0.5467037138279807,0:30:03.508276
31,131072,0.5003403777109838,0:31:04.867896
32,135168,0.5565411363528199,0:32:07.726278
33,139264,0.5148180391999517,0:33:08.355086
34,143360,0.5118500170805689,0:34:10.295231
35,147456,0.5532836407380586,0:35:12.347468
36,151552,0.4270853647554844,0:36:09.928891
37,155648,0.5175385385678481,0:37:10.806445
38,159744,0.5126954449692107,0:38:11.654739
39,163840,0.5266932492607737,0:39:13.758050
40,167936,0.5448637673248982,0:40:16.176987
41,172032,0.5354116359012799,0:41:18.512649
42,176128,0.545594187894892,0:42:20.972450
43,180224,0.5515336381039049,0:43:23.633806
44,184320,0.5274261316409934,0:44:25.518013
45,188416,0.5361063534426762,0:45:28.109183
46,192512,0.5415916277558495,0:46:31.328717
47,196608,0.5227865757636891,0:47:34.726784
48,200704,0.5174783978017672,0:48:37.784558
