,timesteps,rewards,duration
0,4096,0.013531197699875597,0:03:16.993033
1,8192,0.016297210153241842,0:06:25.587519
2,12288,0.02278714808868959,0:09:30.606852
3,16384,0.025264435043938493,0:12:16.106423
4,20480,0.035564372311871706,0:15:19.973800
5,24576,0.055821487915914014,0:18:30.371661
6,28672,0.06182506467856681,0:21:27.702621
7,32768,0.07095080715422064,0:24:20.611641
8,36864,0.09633893287091899,0:27:17.754962
9,40960,0.0939135012850727,0:30:12.162691
10,45056,0.12153890739219264,0:33:07.079387
11,49152,0.12496998211003074,0:36:00.329509
12,53248,0.15238997840144464,0:39:02.950020
13,57344,0.15314164523238105,0:42:02.704283
14,61440,0.18895895557869835,0:45:09.999784
15,65536,0.1682430959192942,0:48:02.735500
16,69632,0.2065963055270572,0:51:09.642813
17,73728,0.24407144700757044,0:54:19.995869
18,77824,0.29160837684500507,0:57:36.877453
19,81920,0.2286744035663304,1:00:57.020520
20,86016,0.2071975752439732,1:04:17.707557
21,90112,0.2020765310522643,1:07:39.133695
22,94208,0.2192803003457442,1:10:57.785746
23,98304,0.18181794867646062,1:14:08.016478
24,102400,0.1873239586056703,1:17:31.027351
