,timesteps,rewards,duration
0,4096,0.01369549680387891,0:00:07.095107
1,8192,0.01606421382860801,0:00:16.140090
2,12288,0.018480791598442,0:00:25.467759
3,16384,0.03181739071434442,0:00:34.577762
4,20480,0.033562209031915965,0:00:43.475221
5,24576,0.039735416624117725,0:00:52.311714
6,28672,0.0550273897680853,0:01:01.208668
7,32768,0.06689372018453921,0:01:10.169623
8,36864,0.06983203119643377,0:01:19.205182
9,40960,0.09392247639562612,0:01:28.214210
10,45056,0.11419993393972216,0:01:37.208032
11,49152,0.1257174031673003,0:01:46.270511
12,53248,0.16458338107477744,0:01:55.404593
13,57344,0.1942121811834543,0:02:04.584130
14,61440,0.18670819949545603,0:02:13.750899
15,65536,0.22932984283579572,0:02:22.909590
16,69632,0.2692118472651259,0:02:32.177036
17,73728,0.2580335718342326,0:02:41.318833
18,77824,0.3376831119377641,0:02:50.649382
19,81920,0.3490811368397999,0:02:59.986452
20,86016,0.40612109831550924,0:03:09.369177
21,90112,0.4538111202096218,0:03:18.863875
22,94208,0.4471712315988441,0:03:28.528635
23,98304,0.4970444052974443,0:03:38.103627
24,102400,0.5254914816521534,0:03:47.712101
25,106496,0.506213543665865,0:03:57.219975
26,110592,0.5475347918275304,0:04:06.773676
27,114688,0.48022758182477787,0:04:16.328766
28,118784,0.5485209072187978,0:04:25.944953
29,122880,0.6122503522725538,0:04:35.563383
30,126976,0.6633676364392613,0:04:45.058350
31,131072,0.49918852915766365,0:04:54.541576
32,135168,0.6378346743428729,0:05:04.088312
33,139264,0.6271022993005317,0:05:13.578924
34,143360,0.6550844705196823,0:05:23.064415
35,147456,0.6707992557767994,0:05:32.629999
36,151552,0.6385960544106695,0:05:42.046211
37,155648,0.6194243834663382,0:05:51.540927
38,159744,0.3060194325597223,0:06:01.000744
39,163840,0.41824783451122016,0:06:10.403910
40,167936,0.5189962486313684,0:06:19.844747
41,172032,0.6175399634236669,0:06:29.298427
42,176128,0.6487823980891392,0:06:38.819668
43,180224,0.6613550540611044,0:06:48.300007
44,184320,0.724514632283956,0:06:57.839831
45,188416,0.7714635607235891,0:07:07.418745
46,192512,0.8180169194003497,0:07:16.794203
47,196608,0.8182046646558376,0:07:26.213743
48,200704,0.8571505843383989,0:07:35.603498
