,timesteps,rewards,duration
0,4096,0.008440730349696723,0:00:08.046613
1,8192,0.013793332932066076,0:00:18.481403
2,12288,0.02221816173915478,0:00:28.141577
3,16384,0.02660684139355378,0:00:37.464347
4,20480,0.0481770901947721,0:00:46.860156
5,24576,0.047914191868693834,0:00:56.534622
6,28672,0.07075471793660171,0:01:06.016006
7,32768,0.07570662478199353,0:01:15.561327
8,36864,0.10709612224463783,0:01:25.172441
9,40960,0.08873282418709172,0:01:34.845204
10,45056,0.13858986626955172,0:01:44.458059
11,49152,0.17727034960856258,0:01:54.134576
12,53248,0.17495937244262905,0:02:03.806886
13,57344,0.22586351161767482,0:02:13.645404
14,61440,0.25830440785594533,0:02:23.458244
15,65536,0.3202137919144761,0:02:33.263201
16,69632,0.3679752806156955,0:02:43.103283
17,73728,0.40076605431681855,0:02:53.005250
18,77824,0.4383228806500483,0:03:02.918819
19,81920,0.46670420343271246,0:03:12.816791
20,86016,0.5334455202308845,0:03:22.745567
21,90112,0.3875806323098061,0:03:32.541609
22,94208,0.4807397009126362,0:03:42.536432
23,98304,0.5598376903481856,0:03:52.541358
24,102400,0.5776650226885636,0:04:02.503407
25,106496,0.6418980539868926,0:04:12.408368
26,110592,0.6590889204553037,0:04:22.380527
27,114688,0.668906682132274,0:04:32.299898
28,118784,0.7122174007100739,0:04:42.140848
29,122880,0.7404704233911161,0:04:52.093978
30,126976,0.74905261484653,0:05:01.979797
31,131072,0.5179302014227005,0:05:11.915763
32,135168,0.672630161474217,0:05:21.898498
33,139264,0.6769112720028829,0:05:31.890144
34,143360,0.7887023045924195,0:05:41.822292
35,147456,0.7706331921578737,0:05:51.767091
36,151552,0.8628089231880836,0:06:01.697898
37,155648,0.8468715207412743,0:06:11.574728
38,159744,0.7042212965115482,0:06:21.369254
39,163840,0.8615435323474685,0:06:31.223696
40,167936,0.7436183597449713,0:06:41.164945
41,172032,0.7132034390471063,0:06:51.015398
42,176128,0.8098707682224813,0:07:00.845832
43,180224,0.7442228015130468,0:07:10.836843
44,184320,0.8681625968036286,0:07:20.824767
45,188416,0.8343786405587252,0:07:30.757048
46,192512,0.778131308766433,0:07:40.743613
47,196608,0.925453924830606,0:07:50.742061
48,200704,0.8604494366639557,0:08:00.765450
